repo,pr_number,pr_title,pr_url,comment_body,comment_url,reply_body,created_at,title,bug_category,severity,quality_score,llm_reasoning,evaluated_at
infisical/infisical,5325,feat(ui): add app connection id permission condition to secret syncs,https://github.com/Infisical/infisical/pull/5325,"<details>
<summary>Additional Comments (1)</summary>

**`backend/src/services/secret-sync/secret-sync-service.ts`**
**Critical Security Issue: Permission bypass when updating `connectionId`**

The permission checks use the OLD `connectionId` from the existing sync, but when `params.connectionId` is provided (line 502-511), the update allows changing to a NEW connection without verifying permission against that new `connectionId`.

**Attack scenario:**
1. User has Read/Edit on syncs with `connectionId=conn-1`  
2. User does NOT have access to `connectionId=conn-2`
3. User calls update with `params.connectionId=conn-2`
4. Permission check at line 436-443 passes (checks OLD `conn-1`)
5. Line 502-511 only validates the connection exists
6. User successfully updates sync to use `conn-2`, bypassing permission restrictions

**Fix required:**
When `params.connectionId` is provided, add a permission check against the NEW connection:

```typescript
if (params.connectionId && params.connectionId !== connectionId) {
  // Check permission against NEW connectionId
  ForbiddenError.from(permission).throwUnlessCan(
    ProjectPermissionSecretSyncActions.Edit,
    secretSync.environment?.slug && secretSync.folder?.path
      ? subject(ProjectPermissionSub.SecretSyncs, {
          environment: secretSync.environment.slug,
          secretPath: secretSync.folder.path,
          connectionId: params.connectionId
        })
      : ProjectPermissionSub.SecretSyncs
  );
}
```

Note: Secret rotation correctly prevents this by excluding `connectionId` from `TUpdateSecretRotationV2DTO`.
</details>",https://github.com/Infisical/infisical/pull/5325#issuecomment-3824534353,,2026-01-30T16:16:14+00:00,Permission bypass when updating connectionId in secret sync,security,critical,9,"This is a critical security vulnerability - a permission bypass that allows users to update secret syncs to use connections they don't have access to. The comment provides a clear attack scenario demonstrating how the old connectionId is checked but the new one isn't, enabling unauthorized access to connections. This is exactly the type of authorization bypass that could lead to data exposure in production.",2026-02-05T22:30:01.285896+00:00
openucx/ucc,1260,TL/NCCL: add user buffer registration via memmap,https://github.com/openucx/ucc/pull/1260,"buffer size calculation is incorrect for variable-size collectives (ALLTOALLV, ALLGATHERV, GATHERV, SCATTERV). For these collectives, `coll_args->args.src` uses the `info_v` union member with `counts*` array, not `info.count` scalar. Accessing `.info.count` reads the `counts` pointer as an integer, resulting in incorrect buffer size. Need to check `coll_args->args.coll_type` and use appropriate buffer size calculation for each collective type.

```suggestion
            // TODO: Need to calculate correct buffer size based on coll_type
            // For variable-size collectives (ALLTOALLV, ALLGATHERV, etc), 
            // must sum counts array instead of using single count value
            status = ucc_tl_nccl_lazy_register_memh(
                coll_args->args.src.info.buffer,
                coll_args->args.src.info.count *
                    ucc_dt_size(coll_args->args.src.info.datatype),
```",https://github.com/openucx/ucc/pull/1260#discussion_r2747554746,,2026-01-30T18:55:12+00:00,Wrong union member used for variable-size collective buffer calculation,logic,high,8,"This is a meaningful logic bug where accessing `.info.count` on variable-size collectives (ALLTOALLV, etc.) would incorrectly interpret a pointer as an integer value, leading to completely wrong buffer size calculations. This could cause memory corruption, incorrect data transfers, or crashes in production MPI/collective operations. The catch requires understanding of the union structure and collective operation semantics.",2026-02-05T22:30:01.285923+00:00
huskit/website-agent,28,Feat/improve template flow,https://github.com/HuskIT/website-agent/pull/28,"path traversal check uses simple string matching which doesn't catch all encoding variants

The current `isPathSafe` implementation checks for `..` using `includes('...')` which misses encoded variants like:
- URL encoding: `%2e%2e/` or `..%2f`
- Unicode normalization issues
- Mixed separators: `..\` on Windows

Consider using `path.normalize()` and checking if the resolved path stays within the expected directory:

```suggestion
function isPathSafe(filePath: string): boolean {
  // Reject absolute paths
  if (filePath.startsWith('/') || filePath.startsWith('\\')) {
    return false;
  }

  // Reject Windows absolute paths
  if (/^[a-zA-Z]:/.test(filePath)) {
    return false;
  }

  // Normalize and check for path traversal
  const normalized = path.normalize(filePath);
  if (normalized.startsWith('..') || normalized.includes(`${path.sep}..`)) {
    return false;
  }

  return true;
}
```

<details><summary>Prompt To Fix With AI</summary>

`````markdown
This is a comment left during a code review.
Path: app/lib/.server/templates/zip-template-fetcher.ts
Line: 166:183

Comment:
path traversal check uses simple string matching which doesn't catch all encoding variants

The current `isPathSafe` implementation checks for `..` using `includes('...')` which misses encoded variants like:
- URL encoding: `%2e%2e/` or `..%2f`
- Unicode normalization issues
- Mixed separators: `..\` on Windows

Consider using `path.normalize()` and checking if the resolved path stays within the expected directory:

```suggestion
function isPathSafe(filePath: string): boolean {
  // Reject absolute paths
  if (filePath.startsWith('/') || filePath.startsWith('\\')) {
    return false;
  }

  // Reject Windows absolute paths
  if (/^[a-zA-Z]:/.test(filePath)) {
    return false;
  }

  // Normalize and check for path traversal
  const normalized = path.normalize(filePath);
  if (normalized.startsWith('..') || normalized.includes(`${path.sep}..`)) {
    return false;
  }

  return true;
}
```

How can I resolve this? If you propose a fix, please make it concise.
`````
</details>",https://github.com/HuskIT/website-agent/pull/28#discussion_r2749161211,,2026-01-31T07:32:56+00:00,Path traversal bypass via encoded dot sequences,security,critical,9,"This is a legitimate path traversal vulnerability catch in a zip file extraction utility. The comment correctly identifies that simple string matching for '..' is insufficient and can be bypassed with URL encoding (%2e%2e), Unicode normalization, or mixed separators. Path traversal in file extraction is a well-known security vulnerability (Zip Slip) that could allow attackers to write files outside the intended directory.",2026-02-05T22:30:01.285942+00:00
mrmps/smry,57,"Add Gravity micro/inline ads, AI copy menu, and buy-click device metadata",https://github.com/mrmps/SMRY/pull/57,"`setState` called during render (lines 73-74) will cause infinite re-renders. Use `useEffect` instead.

```suggestion
  const [prevSourcesLen, setPrevSourcesLen] = useState(sources.length);
  
  useEffect(() => {
    if (sources.length !== prevSourcesLen) {
      setPrevSourcesLen(sources.length);
      if (deselectedSources.size > 0) setDeselectedSources(new Set());
    }
  }, [sources.length, prevSourcesLen, deselectedSources.size]);
```",https://github.com/mrmps/SMRY/pull/57#discussion_r2749168539,,2026-01-31T07:46:34+00:00,setState called during render causes infinite loop,runtime,high,8,"Calling setState during render causes infinite re-renders, which is a genuine React anti-pattern that would cause the component to crash or freeze in production. This is a meaningful runtime bug, though experienced React developers would likely catch it quickly during development.",2026-02-05T22:30:01.285970+00:00
twentyhq/twenty,17602,feat(imap): Enterprise-Grade IDLE + Chunked Sync,https://github.com/twentyhq/twenty/pull/17602,"[P0] `startIdle` awaits `client.idle()`, which typically only resolves when IDLE ends. This means `startIdle` likely never returns while the connection is healthy, and `activeClients.set(accountId, client)` / the ""IDLE started"" log may never execute. In practice this can block whatever code path calls `startIdle` and prevent tracking the active client.

If you want IDLE to run in the background, it usually needs to be started without awaiting completion (or managed in a long-lived task), and `activeClients` should be set before entering the long wait.

<details><summary>Prompt To Fix With AI</summary>

`````markdown
This is a comment left during a code review.
Path: packages/twenty-server/src/modules/messaging/message-import-manager/drivers/imap/services/imap-idle.service.ts
Line: 15:18

Comment:
[P0] `startIdle` awaits `client.idle()`, which typically only resolves when IDLE ends. This means `startIdle` likely never returns while the connection is healthy, and `activeClients.set(accountId, client)` / the ""IDLE started"" log may never execute. In practice this can block whatever code path calls `startIdle` and prevent tracking the active client.

If you want IDLE to run in the background, it usually needs to be started without awaiting completion (or managed in a long-lived task), and `activeClients` should be set before entering the long wait.

How can I resolve this? If you propose a fix, please make it concise.
`````
</details>",https://github.com/twentyhq/twenty/pull/17602#discussion_r2749733668,,2026-01-31T16:48:54+00:00,Blocking await on IMAP IDLE prevents client tracking,concurrency,high,8,"This is a meaningful concurrency/async bug where awaiting a long-running IDLE operation would block the function indefinitely, preventing the client from being tracked in activeClients and blocking the calling code path. This is a real architectural issue that would cause problems in production with IMAP idle connections.",2026-02-05T22:30:01.285989+00:00
sqlfluff/sqlfluff,7414,Support globs in COMMA_SEPARATED_PATH_KEYS,https://github.com/sqlfluff/sqlfluff/pull/7414,"<details>
<summary>Additional Comments (1)</summary>

**`src/sqlfluff/core/config/file.py`**
Breaking change: `_resolve_path()` now returns a list, but this code expects a string for single path keys (like `library_path`). This will cause type errors when code tries to use these paths with string operations (e.g., `os.path.join(library_path, ""__init__.py"")` in jinja.py:266).

The fix requires handling the list return value. For single path keys, take the first match or original value if no matches:

```suggestion
        # It it's a single path key, resolve it.
        elif key.lower().endswith(RESOLVE_PATH_SUFFIXES):
            assert isinstance(
                val, str
            ), f""Value for {key} in {log_filename} must be a string not {type(val)}.""
            matches = _resolve_path(filepath, val)
            config[key] = matches[0] if matches else val
```
</details>",https://github.com/sqlfluff/sqlfluff/pull/7414#issuecomment-3829312171,,2026-01-31T20:51:10+00:00,_resolve_path() returns list but string expected,type_error,high,8,"This catches a real breaking change where a function's return type changed from string to list, which would cause runtime errors in production code that expects string operations like os.path.join(). The comment identifies the specific downstream code location (jinja.py:266) that would break and provides a concrete fix.",2026-02-05T22:30:01.286013+00:00
raycast/extensions,25035,Update moneybird extension: paginating contacts/lists (#24390) and repeat time entry (#23438),https://github.com/raycast/extensions/pull/25035,"infinite loop if `links.next` is not present - `nextUrl` is never set to null

```suggestion
  while (nextUrl) {
    const response = await fetchWithAuth(nextUrl.toString());
    const data = await response.json();
    if (Array.isArray(data)) results.push(...(data as T[]));

    const links = parseLinkHeader(response.headers.get(""Link""));
    if (links.next) {
      nextUrl = new URL(links.next, apiBaseUrl);
    } else {
      nextUrl = null as unknown as URL;
      break;
    }
  }
```",https://github.com/raycast/extensions/pull/25035#discussion_r2750134117,,2026-01-31T22:41:40+00:00,Missing nextUrl null assignment causes infinite loop,logic,high,8,"This catches a genuine infinite loop bug - if the API response doesn't include a 'next' link in the headers, `nextUrl` would never be set to null, causing the loop to run forever. This would freeze the extension and potentially cause resource exhaustion. A meaningful logic bug that would cause real problems in production.",2026-02-05T22:30:01.286029+00:00
onyx-dot-app/onyx,8056,refactor(craft): make usage limit overrides feature flags instead of env vars,https://github.com/onyx-dot-app/onyx/pull/8056,"`_should_skip_rate_limiting` unconditionally uses `get_default_feature_flag_provider().feature_enabled(...)`, but unlike `is_onyx_craft_enabled` it doesn’t fall back when PostHog isn’t configured (NoOp provider). If NoOp returns False by default, this will make `not has_rate_limit` = True and effectively grant unlimited usage to *all* cloud users whenever PostHog is unavailable/misconfigured.

Consider mirroring the existing pattern:
- if provider is `NoOpFeatureFlagProvider`, default to applying limits (return False), or gate this behind an env/config that’s explicitly opt-in.

<details><summary>Prompt To Fix With AI</summary>

`````markdown
This is a comment left during a code review.
Path: backend/onyx/server/features/build/api/rate_limit.py
Line: 33:36

Comment:
`_should_skip_rate_limiting` unconditionally uses `get_default_feature_flag_provider().feature_enabled(...)`, but unlike `is_onyx_craft_enabled` it doesn’t fall back when PostHog isn’t configured (NoOp provider). If NoOp returns False by default, this will make `not has_rate_limit` = True and effectively grant unlimited usage to *all* cloud users whenever PostHog is unavailable/misconfigured.

Consider mirroring the existing pattern:
- if provider is `NoOpFeatureFlagProvider`, default to applying limits (return False), or gate this behind an env/config that’s explicitly opt-in.

How can I resolve this? If you propose a fix, please make it concise.
`````
</details>",https://github.com/onyx-dot-app/onyx/pull/8056#discussion_r2750167381,,2026-01-31T23:19:36+00:00,Rate limiting bypassed when PostHog provider unavailable,security,high,8,"This is a meaningful security/logic bug where a NoOp feature flag provider returning False would cause `not has_rate_limit` to be True, effectively bypassing rate limits for all cloud users when PostHog is unavailable. This could lead to resource abuse and is a real production concern that requires understanding the feature flag fallback pattern.",2026-02-05T22:30:01.286298+00:00
traceroot-ai/traceroot,397,Support org and project management #373,https://github.com/traceroot-ai/traceroot/pull/397,"[P0] API key endpoints no longer enforce any project existence or user authorization.

In this PR, `ProjectAccess` and the explicit `get_active_project_by_id` check were removed from `create_api_key_endpoint`, `list_api_keys_endpoint`, and `delete_api_key_endpoint`, meaning anyone who can reach the API can create/list/delete keys for any `project_id` (including IDs they don’t own), and `create` will also succeed for non-existent projects unless DB constraints reject it. If these routes are intended to be protected (even in MVP), they need to reintroduce an auth/access dependency or at least verify the project exists + caller has access.

<details><summary>Prompt To Fix With AI</summary>

`````markdown
This is a comment left during a code review.
Path: rest/routers/api_keys.py
Line: 24:29

Comment:
[P0] API key endpoints no longer enforce any project existence or user authorization.

In this PR, `ProjectAccess` and the explicit `get_active_project_by_id` check were removed from `create_api_key_endpoint`, `list_api_keys_endpoint`, and `delete_api_key_endpoint`, meaning anyone who can reach the API can create/list/delete keys for any `project_id` (including IDs they don’t own), and `create` will also succeed for non-existent projects unless DB constraints reject it. If these routes are intended to be protected (even in MVP), they need to reintroduce an auth/access dependency or at least verify the project exists + caller has access.

How can I resolve this? If you propose a fix, please make it concise.
`````
</details>",https://github.com/traceroot-ai/traceroot/pull/397#discussion_r2750210955,,2026-01-31T23:51:03+00:00,API Key Endpoints Missing Authorization Controls,security,critical,9,"This is a critical security vulnerability - the removal of authorization checks means any authenticated user (or potentially unauthenticated user) can create, list, and delete API keys for any project, including ones they don't own. This is a classic authorization bypass (IDOR) that could lead to unauthorized access and data exposure. The catch requires understanding the security implications of removing access control dependencies.",2026-02-05T22:30:01.286334+00:00
getarcaneapp/arcane,1614,fix: container exec sessions not being cleaned up after websockets close,https://github.com/getarcaneapp/arcane/pull/1614,"using cancelled context for timeout won't work

When this cleanup is called from `watchExecContext` (line 489), the `ctx` will already be cancelled. `context.WithTimeout(ctx, 5*time.Second)` inherits the cancellation from the parent, so `cleanupCtx` will be immediately cancelled.

```suggestion
		cleanupCtx, cleanupCancel := context.WithTimeout(context.Background(), 5*time.Second)
```

<details><summary>Prompt To Fix With AI</summary>

`````markdown
This is a comment left during a code review.
Path: backend/internal/api/ws_handler.go
Line: 478:479

Comment:
using cancelled context for timeout won't work

When this cleanup is called from `watchExecContext` (line 489), the `ctx` will already be cancelled. `context.WithTimeout(ctx, 5*time.Second)` inherits the cancellation from the parent, so `cleanupCtx` will be immediately cancelled.

```suggestion
		cleanupCtx, cleanupCancel := context.WithTimeout(context.Background(), 5*time.Second)
```

How can I resolve this? If you propose a fix, please make it concise.
`````
</details>",https://github.com/getarcaneapp/arcane/pull/1614#discussion_r2750334846,,2026-02-01T01:14:07+00:00,Context timeout using already cancelled parent context,logic,high,8,"This is a meaningful logic bug where cleanup operations would silently fail due to using an already-cancelled context. The cleanup of exec sessions would never actually execute, leading to resource leaks in production. This requires understanding Go's context propagation and the specific call flow, making it a non-trivial catch.",2026-02-05T22:30:01.286604+00:00
